univ_name,pendaftar
Keio University,199
University of Padua,158
Hanyang University,153
Universitat Pompeu Fabra,129
Osaka University,102
Humboldt-Universität zu Berlin,97
Korea University,90
Sapienza University of Rome,81
Boston University Metropolitan College,72
Grenoble Ecole de Management,72
University of Szeged,68
University of California Davis,61
Palacky University Olomouc,59
University of Leeds,57
University of Pisa,52
Michigan State University,52
University of Pennsylvania,50
Nanyang Technological University,48
University of Warsaw,47
University of Liverpool,44
University of Glasgow,43
Maastricht University,41
Victoria University of Wellington,41
University College Cork - National University of Ireland - Cork,38
University of British Columbia,37
Universiti Malaya,36
Vytautas Magnus University,36
Yale University,36
University of Edinburgh,35
University of Twente,35
National Taiwan University of Science and Technology,34
University of Galway,31
University of Waterloo,30
M.V.Lomonosov Moscow State University (Lomonosov MSU or MSU),28
National Taiwan University,28
The University of Sydney,27
Newcastle University,27
University of Sussex,26
University of Melbourne,25
University College London (UCL),25
Singapore Management University,24
The University of Auckland,24
Universiti Kebangsaan Malaysia,24
Middle East Technical University,24
Monash University,24
Chulalongkorn University,23
The University of Queensland,21
Universiti Sains Malaysia,21
UNIVERSIDAD AUTONOMA DE MADRID,20
Penn State University,18
University of Leicester,17
University of York,17
University of Colorado Boulder,16
University of Zagreb,16
University of Canterbury,15
Sciences Po,15
University College Dublin,15
Lancaster University,15
Western University,15
Vrije Universiteit Amsterdam,14
University of New South Wales,13
Radboud University,13
KU Leuven,12
Pontificia Universidad Catolica de Chile,11
The University of Adelaide,11
University of Otago,9
Arizona State University,7
Leiden Univerity,7
University of Tartu,5
University of Texas at Austin,5
The University of Western Australia,5
University of Birmingham,5
Queen Mary University of London,4
The Australian National University,4
University of Warwick,2
University of Chicago,1
#N/A,3967
