University,Awardees,Applicants,Region
University of Waterloo,15,68,AS-CA
Michigan State University,22,79,AS-CA
UC Chile,4,5,AS-CA
Boston University,20,140,AS-CA
Western University,10,81,AS-CA
Arizona State University,8,59,AS-CA
UBC,10,36,AS-CA
Univrsity of Pennsylvania,20,166,AS-CA
University of California,25,136,AS-CA
PennState,10,37,AS-CA
Universiti Kebangsaan Malaysia,16,28,Asia
Indian Institute of Technology Bombay,3,4,Asia
Korea University,50,134,Asia
Universiti Teknologi Malaysia,16,26,Asia
Universiti Sains Malaysia,14,30,Asia
National Taiwan University,20,45,Asia
Hanyang University,50,201,Asia
Universiti Brunei Darussalam,2,2,Asia
Nanyang Technological University Singapore,25,58,Asia
Prince of Songkla University,3,4,Asia
Taiwan Tech,20,50,Asia
Universiti Malaya,20,37,Asia
KOC Universitesi,4,19,Asia
Midle East Technical University,10,66,Asia
Chulongkorn University,6,31,Asia
Humboldt-Universitat zu Berlin,25,61,EU
University of Szeged,46,122,EU
University of Pecs,46,-,EU
Universidad De Granada,25,86,EU
University of Zagreb,10,65,EU
Maastricht University,20,97,EU
Palacky Universitu Olomouc,20,86,EU
Vrije Universiteit Amsterdam,8,47,EU
University of Padua,35,136,EU
Universitat Pompeu Fabra,32,149,EU
Vytautas Magnus University,8,44,EU
University of Pisa,20,71,EU
KU Leuven,10,18,EU
Sapienza Universiti Di Roma,45,93,EU
University of Warsaw,25,60,EU
Universidad Autonoma De Madrid,10,28,EU
University of Groningen,19,29,EU
Radboud Universiteit,15,48,EU
University Tartue,6,32,EU
Leiden University,4,43,EU
University of Twente,10,57,EU
NUI Galway,15,66,UK-Ireland
University of Birmingham,15,42,UK-Ireland
University of Sussex,15,132,UK-Ireland
University College London,10,22,UK-Ireland
University of Exeter,10,33,UK-Ireland
University College Dublin,10,38,UK-Ireland
University of York,15,84,UK-Ireland
University of Leeds,20,99,UK-Ireland
The University of Edinburg,20,56,UK-Ireland
University College Cork – National University of Ireland,14,24,UK-Ireland
University of Liverpool,25,130,UK-Ireland
University of Warwick,10,54,UK-Ireland
Newcastle University,10,96,UK-Ireland
University of Leicester,10,74,UK-Ireland
University of Glasgow,20,58,UK-Ireland
Lancaster University,10,39,UK-Ireland
Queen Mary University of London,4,16,UK-Ireland
Monash Universityy,10,35,AU-NZ
University of Sydney,7,13,AU-NZ
The University of Queensland,10,24,AU-NZ
The Australian National University,10,41,AU-NZ
The University of Melbourne,10,31,AU-NZ
Massey University,10,39,AU-NZ
The University of Auckland,16,44,AU-NZ
The University of Adelaide,8,38,AU-NZ
